billname,original_ap_score,logit_ap_score
uniform unclaimed property act,0.016086286263747335,0.016532146222424045
interstate compact on mentally disordered offenders,0.07022328014668701,0.07017918014161535
land sales practices,0.03705278960547019,0.03701663690879204
damremov,0.08326983105006984,0.0833015246121712
furlough,0.07655921540902469,0.07661410997522987
multistate tax compact,0.032524188867756716,0.03240696320522823
w_guncontrol_waitingperio,0.027843584180036577,0.03837506131351091
regulation_motorcycle_helmet,0.2904331192284392,0.29030415653929187
anti-discrimination,0.01759259259259259,0.017672116290654613
principal and income act (1962),0.04214292126356171,0.035515566592783605
labor_minwage_abovefe,0.09526575053788831,0.09550255400149575
limited partnership act (1916),0.02306924917019109,0.02313699173061697
pestcomp,0.04547272977010215,0.04253299821383696
status of convicted persons act (1964),0.0355297157622739,0.039083323160186374
securities act (1956),0.023465394549344328,0.02400394133718067
model mandatory disposition of detainers act,0.030659622158181233,0.030659638114177403
arbitration act (1956),0.0303609224695907,0.030345809873778346
national guard mutual assistance compact,0.06732527319794457,0.06856297770711574
model state administrative procedure act (1981),0.018790488073327265,0.019054654786005428
deceptive trade practices act (1964),0.025313991499805163,0.025076315046969434
unclaimed property act (1952)(1981),0.07030527638137644,0.07015748500490954
federal lien registration act,0.058255498724013866,0.05626489785740129
reciprocal enforcement of support act (1950),0.026888770934312592,0.02694622770128831
testamentary additions to trusts act,0.01058692067552636,0.010606615990797137
hazing,0.11158158085605524,0.10530155112110977
partnership act (1914),0.012015449613782704,0.012325892946982381
consumer credit code,0.031053306376888974,0.03101665861139798
w_environment_endangered_specie,0.03916878052489112,0.03911117625092298
earlvot,0.016149807694109754,0.016598685689523027
fetalhomic,0.05076021548199366,0.051916401262640265
environment_state_nepa,0.023210711005694933,0.022717764605274474
immigration_english_languag,0.0670531684917828,0.06738080172454299
education,0.01598361478753496,0.015784192388115226
child custody jurisdiction and enforcement act,0.0889424997547199,0.09205172741921501
minor student capacity to borrow act (1969),0.08608547823406913,0.09010244021251214
education_corporal_punishment_b,0.1061920174637532,0.10621441184649617
regulations_lemonla,0.143236886969215,0.14648763392738293
anatomical gift (1968),0.5103701555130453,0.508071324633646
"post-conviction procedure act, model",0.1111111111111111,0.08831908831908832
certification of questions of law (1967),0.03349272444311598,0.03349748085604229
correct,0.02510307446060327,0.026150349133620906
genderrights_state_era,0.03114792534140131,0.031063640617623567
w_educ_mom_silentmandator,0.015153509331844775,0.015344032345204725
controlled substances act,0.1727209160990726,0.16522417352849267
probate code,0.01714909203104395,0.017134438759699326
bottle,0.015815311502698257,0.01581694364636488
adoption act (1953)(1969),0.03627791726995646,0.03386934135472147
statrape,0.09530656346701999,0.10630516540555064
alcoholism and intoxication treatment,0.07270398436187112,0.07259858322017995
requireanyid2,0.09177673638177528,0.09218607361078877
anyphotoid2,0.05971994505918601,0.05171116013386077
mailreg,0.11944634098275264,0.11736824318378099
environment_bottlebil,0.013196493569606785,0.013130135124339753
deathpen,0.1302834481276037,0.12597464626514362
residential landlord and tenant act 1972,0.018625123057787688,0.018603290799433812
consumer sales practices,0.0741730093676815,0.06779884126195601
genderrights_era_ratificatio,0.3740425538266534,0.3743659171353116
anyid2,0.04914313775741622,0.04913489729334978
rico,0.09714314878844676,0.07989868879404284
estate tax apportionment and probate code 3-916,0.009028441704753939,0.008899141156481232
trap_lic,0.025772330419456906,0.025737723941690896
postvia,0.030490710309759916,0.0305202956145184
ucc article 9 amendments,0.04480156865685225,0.044986576074280686
parnotific,0.023970037551444577,0.02393055635183572
"marriage and divorce act, model",0.04700123344120683,0.04422489595748633
"ucc article 9, secured transactions (1998)",0.10976346942377392,0.10974061537666262
